#支付宝交易记录明细查询
#账号: 208012345
#起始日期:[2014-10-30 00:00:00]    终止日期:[2014-10-31 23:59:59]
#————————————————交易记录明细列表------------------------------------
交易号                  ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态
"20141031000040011100910015664356	",支付宝网站     ,即时到账交易          ,*小华             ,转账                  ,10,收入      ,交易成功
"20141031000040011100390015648161	",支付宝网站     ,即时到账交易          ,*勇              ,林东尧同学，加油啊！          ,1000,收入      ,交易成功
"20141031000040011100060006801657	",支付宝网站     ,即时到账交易          ,*萍              ,转账                  ,-200,收入      ,交易成功
"20141031000040011100950020158267	",支付宝网站     ,即时到账交易          ,*凤金             ,东尧，加油！挺过去，祝你早日康复！刘凤金,100,收入      ,交易成功
"20141031000040011100730015216277	",支付宝网站     ,即时到账交易          ,*月              ,钱虽少也是一份心 祝好日康复 加油！  ,10,收入      ,交易成功
"20141031000040011100400009170437	",支付宝网站     ,即时到账交易          ,*仕逵             ,钱不多，希望能帮到你！         ,200,收入      ,交易成功
"20141031000040011100770014864749	",支付宝网站     ,即时到账交易          ,*雨薇             ,加油！                 ,50,收入      ,交易成功
"20141031000040011100630008778557	",支付宝网站     ,即时到账交易          ,*欢明             ,付款-希望身体健康           ,500,收入      ,交易成功
"20141031000040011100730008698682	",支付宝网站     ,即时到账交易          ,*泽昊             ,捐的不多 祝你早日康复         ,50,收入      ,交易成功
"20141031000040011100910018870952	",支付宝网站     ,即时到账交易          ,*杰              ,转账                  ,500,收入      ,交易成功
"20141031000040011100520007397241	",支付宝网站     ,即时到账交易          ,*丽丽             ,转账                  ,50,收入      ,交易成功
"20141031000040011100780012812977	",支付宝网站     ,即时到账交易          ,*春洋             ,林东尧加油，老乡都在你身边       ,100,收入      ,交易成功
"20141031000040011100230012684923	",支付宝网站     ,即时到账交易          ,*丽君             ,转账                  ,20,收入      ,交易成功
"20141031000040011100540007221900	",支付宝网站     ,即时到账交易          ,*道计             ,转账                  ,7,收入      ,交易成功
"20141031000040011100040007197811	",支付宝网站     ,即时到账交易          ,*咏梅             ,祝早日康复！              ,50,收入      ,交易成功
"20141031000040011100250013680693	",支付宝网站     ,即时到账交易          ,*呈维             ,祝你早日康复重返校园          ,100,收入      ,交易成功
"20141031000040011100210006501226	",支付宝网站     ,即时到账交易          ,*芳宜             ,加油！                 ,10,收入      ,交易成功
"201410310000400111008700177825001111111111111111111111111111111	",支付宝网站     ,即时到账交易          ,*鹏程             ,我是校友，祝你早日康复         ,50,收入      ,交易成功
"201410310000400111001600074581751111111111111111111111111111111111	",支付宝网站     ,即时到账交易          ,*元              ,转账                  ,100,收入      ,交易成功
"201410310000400111009400063499401111111111111111111111111111111111	",支付宝网站     ,即时到账交易          ,*凌云             ,转账                  ,10,收入      ,交易成功
"20141031000040011100940017590503	",支付宝网站     ,即时到账交易          ,*清              ,东尧加油！               ,500,收入      ,交易成功
"20141031000040011100720012976585	",支付宝网站     ,即时到账交易          ,*龙潭             ,小学弟加油。              ,50,收入      ,交易成功
"20141031000040011100530006213062	",支付宝网站     ,即时到账交易          ,*朋              ,华科不相识的学弟，很抱歉不能帮更多。平安,100,收入      ,交易成功
"20141031000040011100940009587389	",支付宝网站     ,即时到账交易          ,*冠杰             ,同学，祝早日康复，加油！??路人甲   ,100,收入      ,交易成功
